Designator,Footprint,Quantity,Value,LCSC Part #
I1,MPU6050,1,MPU6050,
I2,INA260,1,INA260,
I3,1x07,1,MS5611,
J1,PinSocket_1x02_P2.54mm_Horizontal,1,battery_header,
"LOGO1, LOGO2",picturae,2,~,
"R1, R2",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,R-Device,
S1,PinSocket_1x04_P2.54mm_Vertical,1,BN220-GPS,
U1,xbee_s2c,1,XBEE S2C PRO,
"U2, U3, U6, U7",BLHeLi_esc,4,ESC,
U4,esp32_cam,1,esp32,
U5,PinHeader_1x03_P2.54mm_Vertical,1,L7805,
U8,PinSocket_1x04_P2.54mm_Vertical,1,ULTRASONIC SENSOR,
U9,Teensy41,1,Teensy4.1,
