Designator,Mid X,Mid Y,Rotation,Layer
I1,219.549459,-61.372396,270.0,top
I2,254.346849,-74.937585,0.0,bottom
I3,232.079824,-68.357579,270.0,top
J1,205.499775,-61.202247,90.0,top
R1,216.571321,-68.58,0.0,top
R2,236.092324,-68.357579,90.0,top
S1,231.609852,-98.279136,90.0,top
U1,265.728787,-122.923179,90.0,top
U2,221.093298,-123.891928,90.0,top
U3,221.348725,-132.825947,90.0,top
U4,205.730857,-121.700201,0.0,top
U5,237.098629,-110.337933,180.0,top
U6,190.959605,-107.24439,0.0,top
U7,190.981999,-116.048377,0.0,top
U8,233.440481,-121.064314,90.0,top
U9,235.314272,-86.635053,0.0,top
